channel,link,type,content
Mellenbergi.,fUL7xMqaxRg,prop_title,
Mellenbergi.,fUL7xMqaxRg,prop_description,"Čau, šajā video viss par mūsu uzvārda maiņu, rudenīga pastaiga un nedaudz parunāju par to kāpēc mammas tiek nosodītas, bet tēti nē.

Paldies ka skatījies!

Sadarbībām: gustavs.baiba@hotmail.com

Instagram: @baiba.mellenberga @gramsgustava"
Mellenbergi.,fUL7xMqaxRg,prop_comment,"GUSTAVA BEZ CUKURA CHALLENGE UPDATE
https://www.youtube.com/watch?v=9CtItwHI33s"
Mellenbergi.,fUL7xMqaxRg,prop_comment,Yep. Tētis aizved mazuli uz dziedāšanu - darbinieces aplaudē un uzslavē. Mammām ikdienā īpaši neviens nesit pa plecu par tādām default darbībām. Stulbi.
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Sveiki, Mellenbergi!
Sveicu Jūsu ģimeni ar skaistu, karalisku uzvārdu."
Mellenbergi.,fUL7xMqaxRg,prop_comment,Apsveicu! Lai mīlestības pilna kopdzīve!
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Wowww! Es tikai tagad ieraudzīju, ka esat nomainījuši kanāla nosaukumu! Es jau laikam vēl saukšu jūs par ""Baibu un Gustavu"", jo esmu pieradusi 😅, bet APSVEICU! ❤️"
Mellenbergi.,fUL7xMqaxRg,prop_comment,Jūs ja ņemat dzīvokli jaunu tad jums pienākas jaunās ğimenes  atlaide jo jaunām ğimenēm pienākas atlaide!!!!!
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Baiba! Pirmkārt, sveicu ar ģimenes nostiprināšu, tiešām skaists uzvārds, un tāds- nedzirdēts.
Itkārt. Tu esi lieliska mamma, kāda starpība, ko kāds padomā vai saka? Es Matildīti video vienmēr redzu, smaidīgu, aktīvu un visādi citādi laimīgu bērnu. Ar to pietiek, lai aizvērtu mutes visas gudrās un kladzinātājas.
Pašas tās mammas bērnībā visticamāk pirmo piebarojumu dabūja kādu jogurtu, bulciņu vai sieriņu, jo tajos laikos tas bija kruti, vai esat izaugušas nenormālas? Jums kuņģi sāp vai ir kādas problēmas? Mīļās mammas, atslābstiet vienreiz ar to audzināšanu. Man reāli nierēs sēž. Cik pašai nav nācies klausīties, ko un kā būtu jādara. Bet hey, ja tev nav ko darīt, sāc domāt par nākošo bērnu un ieguldi visas savas zināšanas tajā. Mēs mammas, katra savām bērnam esam viss labākā❤️un tikai ĪSTA MAMMA, nenosodīs, jo tas ir tikai pašsaprotami, ka esam dažādi, ar citādākiem uzskatiem. Lai vai kā, Baiba, tu esi labākā mamma un sieva savai ģimenei🐞❤️
Beigsim nosodīt viena, otru, tas katrā mammā ievieš šaubas, par to, vai esmu gana laba mamma,kaut zinām, ka tā ir."
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Jūs esat ļoti jauki , man ļoti patika video! ❤️"
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Par uzvārdiem radās viens jautājums...
Kāds Matildei pirms tam bija uzvārds?"
Mellenbergi.,fUL7xMqaxRg,prop_comment,"Ļoti jauks, foršs un interesants video, tiešām prieks skatīties❤❤💘💘💘☺☺😚!"
