channel,link,type,content
PewDiePie,E0asAgpHvaI,prop_title,This video is Mildly Infuriating..
PewDiePie,E0asAgpHvaI,prop_description,"100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:
https://www.youtube.com/watch?v=VGt-B...
ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,E0asAgpHvaI,prop_comment,"Keyboard Is Not Qwerty


“I Don’t See Anything Wrong”"
PewDiePie,E0asAgpHvaI,prop_comment,"""I don't like the crust""

angry Italian noises"
PewDiePie,E0asAgpHvaI,prop_comment,"Society: something is stupid
Felix: Not in Japan though"
PewDiePie,E0asAgpHvaI,prop_comment,"Felix is getting older. 

He's talking about his wife more often then not."
PewDiePie,E0asAgpHvaI,prop_comment,"“I don’t like the crust”
[No one liked that]"
PewDiePie,E0asAgpHvaI,prop_comment,"“I don’t like the crust”

Mom: eat it"
PewDiePie,E0asAgpHvaI,prop_comment,"Presidential Election 2020:

Kanye West vs Pewdiepie"
PewDiePie,E0asAgpHvaI,prop_comment,FINALLY SOMEONE SAID THAT YOU NEED TO TELL PEOPLE ABOUT THE PROBLEM.
PewDiePie,E0asAgpHvaI,prop_comment,"i don't know what his talking about
but he gets my vote"
PewDiePie,E0asAgpHvaI,prop_comment,"1950: we will have flying cars in the future

2019: 2 ads in a row :("
PewDiePie,E0asAgpHvaI,prop_comment,"No one:

The pizza that was cut out looks like a youtuber play button”"
PewDiePie,E0asAgpHvaI,prop_comment,"if you’re driving on a road 



Felix-2019"
PewDiePie,E0asAgpHvaI,prop_comment,"Pewdiepie: ""if someone is being a ding dong, tell them""
My social anxiety: 👀"
PewDiePie,E0asAgpHvaI,prop_comment,"PewDiePie: No one wants coffee butt.
YouTube: isn't that racist.
Demonetized"
PewDiePie,OhWZavn2OvM,prop_title,Hong Kong vs Joker Ends Fortnite
PewDiePie,OhWZavn2OvM,prop_description,"EPIC GFUEL - https://gfuel.ly/pdp-flavor

100 CLUB MERCH OUT NOW! https://represent.com/store/pewdiepie (Thank you) (▰˘◡˘▰)
Minecraft Series Playlist:

ALL MINECRAFT EPISODES Playlist:



:::::::My Stores:::::::: 
TSUKI:

Merch:


:::::::I drink GFUEL (affiliate link)::::::::


:::::::I stream on DLive (ad)::::::::



:::::::My Setup (affiliate links):::::::: 
Chair: 
Elgato Green Screen:


:::::::Check out this game I helped make (affiliate)::::::::


__ Outro: Animation:

 Song: "
PewDiePie,OhWZavn2OvM,prop_comment,"I’m sorry what is this? Felix actually rated a meme with a number again?!

Are my eyes deceiving me?"
PewDiePie,OhWZavn2OvM,prop_comment,"when pewds rates memes by actuall numbers


me: something's wrong ,i can feel it"
PewDiePie,OhWZavn2OvM,prop_comment,Who’s gonna tell him that jack likes fortnite now
PewDiePie,OhWZavn2OvM,prop_comment,"Joker is a great movie. It doesn't even feel like a movie, it feels real."
